frame,qr,esquina,x,y
116,138,right_bottom,536,679
117,138,left_top,495,714
117,138,left_bottom,497,669
117,138,right_top,537,726
117,138,right_bottom,540,679
117,138,left_top,495,714
117,138,left_bottom,497,669
117,138,right_top,537,726
117,138,right_bottom,540,679
119,138,left_top,504,709
119,138,left_bottom,507,664
119,138,right_top,547,721
119,138,right_bottom,550,673
119,138,left_top,504,709
119,138,left_bottom,507,664
119,138,right_top,547,721
119,138,right_bottom,550,673
120,127,left_top,645,612
120,127,left_bottom,649,556
120,127,right_top,682,629
120,127,right_bottom,687,571
120,138,left_top,508,706
120,138,left_bottom,511,660
120,138,right_top,550,718
120,138,right_bottom,554,670
120,127,left_top,645,612
120,127,left_bottom,649,556
120,127,right_top,682,629
120,127,right_bottom,687,571
120,138,left_top,508,706
120,138,left_bottom,511,660
120,138,right_top,550,718
120,138,right_bottom,554,670
122,80,left_top,388,673
122,80,left_bottom,390,633
122,80,right_top,428,682
122,80,right_bottom,430,640
122,80,left_top,388,673
122,80,left_bottom,390,633
122,80,right_top,428,682
122,80,right_bottom,430,640
123,127,left_top,647,610
123,127,left_bottom,651,553
123,127,right_top,684,627
123,127,right_bottom,689,568
123,138,left_top,511,704
123,138,left_bottom,515,659
123,138,right_top,554,717
123,138,right_bottom,558,669
123,80,left_top,390,672
123,80,left_bottom,391,631
123,80,right_top,430,681
123,80,right_bottom,432,638
123,127,left_top,647,610
123,127,left_bottom,651,553
123,127,right_top,684,627
123,127,right_bottom,689,568
123,138,left_top,511,704
123,138,left_bottom,515,659
123,138,right_top,554,717
123,138,right_bottom,558,669
123,80,left_top,390,672
123,80,left_bottom,391,631
123,80,right_top,430,681
123,80,right_bottom,432,638
124,127,left_top,649,607
124,127,left_bottom,651,550
124,127,right_top,684,625
124,127,right_bottom,689,565
124,138,left_top,512,703
124,138,left_bottom,516,657
124,138,right_top,555,715
124,138,right_bottom,558,667
124,127,left_top,649,607
124,127,left_bottom,651,550
124,127,right_top,684,625
124,127,right_bottom,689,565
124,138,left_top,512,703
124,138,left_bottom,516,657
124,138,right_top,555,715
124,138,right_bottom,558,667
125,127,left_top,650,604
125,127,left_bottom,653,546
125,127,right_top,686,621
125,127,right_bottom,691,561
125,138,left_top,515,700
125,138,left_bottom,518,653
125,138,right_top,557,712
125,138,right_bottom,561,665
125,80,left_top,394,667
125,80,left_bottom,396,626
125,80,right_top,434,676
125,80,right_bottom,436,633
125,127,left_top,650,604
125,127,left_bottom,653,546
125,127,right_top,686,621
125,127,right_bottom,691,561
125,138,left_top,515,700
125,138,left_bottom,518,653
125,138,right_top,557,712
125,138,right_bottom,561,665
125,80,left_top,394,667
125,80,left_bottom,396,626
125,80,right_top,434,676
125,80,right_bottom,436,633
126,127,left_top,652,600
126,127,left_bottom,656,543
126,127,right_top,689,617
126,127,right_bottom,693,557
126,127,left_top,652,600
126,127,left_bottom,656,543
126,127,right_top,689,617
126,127,right_bottom,693,557
127,127,left_top,653,598
127,127,left_bottom,656,540
127,127,right_top,689,615
127,127,right_bottom,694,554
